minimax_m25.oracleGeneral FIFO cache size       61KiB, 4223356 req, miss ratio 0.6546, byte miss ratio 0.7151
minimax_m25.oracleGeneral FIFO cache size      123KiB, 4223356 req, miss ratio 0.5542, byte miss ratio 0.5386
minimax_m25.oracleGeneral FIFO cache size      308KiB, 4223356 req, miss ratio 0.3447, byte miss ratio 0.2077
minimax_m25.oracleGeneral FIFO cache size      616KiB, 4223356 req, miss ratio 0.2850, byte miss ratio 0.0794
minimax_m25.oracleGeneral FIFO cache size     1232KiB, 4223356 req, miss ratio 0.2775, byte miss ratio 0.0699
minimax_m25.oracleGeneral FIFO cache size     3081KiB, 4223356 req, miss ratio 0.2699, byte miss ratio 0.0622
minimax_m25.oracleGeneral FIFO cache size     6163KiB, 4223356 req, miss ratio 0.2656, byte miss ratio 0.0576
minimax_m25.oracleGeneral FIFO cache size    12326KiB, 4223356 req, miss ratio 0.2625, byte miss ratio 0.0542
minimax_m25.oracleGeneral FIFO cache size    30815KiB, 4223356 req, miss ratio 0.2599, byte miss ratio 0.0512
minimax_m25.oracleGeneral FIFO cache size    61631KiB, 4223356 req, miss ratio 0.2585, byte miss ratio 0.0497
minimax_m25.oracleGeneral LRU cache size       61KiB, 4223356 req, miss ratio 0.6875, byte miss ratio 0.7298
minimax_m25.oracleGeneral LRU cache size      123KiB, 4223356 req, miss ratio 0.5870, byte miss ratio 0.5531
minimax_m25.oracleGeneral LRU cache size      308KiB, 4223356 req, miss ratio 0.3356, byte miss ratio 0.1554
minimax_m25.oracleGeneral LRU cache size      616KiB, 4223356 req, miss ratio 0.2867, byte miss ratio 0.0795
minimax_m25.oracleGeneral LRU cache size     1232KiB, 4223356 req, miss ratio 0.2744, byte miss ratio 0.0677
minimax_m25.oracleGeneral LRU cache size     3081KiB, 4223356 req, miss ratio 0.2652, byte miss ratio 0.0575
minimax_m25.oracleGeneral LRU cache size     6163KiB, 4223356 req, miss ratio 0.2621, byte miss ratio 0.0538
minimax_m25.oracleGeneral LRU cache size    12326KiB, 4223356 req, miss ratio 0.2605, byte miss ratio 0.0515
minimax_m25.oracleGeneral LRU cache size    30815KiB, 4223356 req, miss ratio 0.2590, byte miss ratio 0.0498
minimax_m25.oracleGeneral LRU cache size    61631KiB, 4223356 req, miss ratio 0.2580, byte miss ratio 0.0489
minimax_m25.oracleGeneral ARC cache size       61KiB, 4223356 req, miss ratio 0.6636, byte miss ratio 0.7364
minimax_m25.oracleGeneral ARC cache size      123KiB, 4223356 req, miss ratio 0.5644, byte miss ratio 0.5707
minimax_m25.oracleGeneral ARC cache size      308KiB, 4223356 req, miss ratio 0.4402, byte miss ratio 0.3542
minimax_m25.oracleGeneral ARC cache size      616KiB, 4223356 req, miss ratio 0.3512, byte miss ratio 0.1935
minimax_m25.oracleGeneral ARC cache size     1232KiB, 4223356 req, miss ratio 0.2773, byte miss ratio 0.0713
minimax_m25.oracleGeneral ARC cache size     3081KiB, 4223356 req, miss ratio 0.2672, byte miss ratio 0.0596
minimax_m25.oracleGeneral ARC cache size     6163KiB, 4223356 req, miss ratio 0.2656, byte miss ratio 0.0568
minimax_m25.oracleGeneral ARC cache size    12326KiB, 4223356 req, miss ratio 0.2655, byte miss ratio 0.0556
minimax_m25.oracleGeneral ARC cache size    30815KiB, 4223356 req, miss ratio 0.2637, byte miss ratio 0.0537
minimax_m25.oracleGeneral ARC cache size    61631KiB, 4223356 req, miss ratio 0.2632, byte miss ratio 0.0532
minimax_m25.oracleGeneral LRB-BMR cache size       61KiB, 4223356 req, miss ratio 0.6875, byte miss ratio 0.7298
minimax_m25.oracleGeneral LRB-BMR cache size      123KiB, 4223356 req, miss ratio 0.5870, byte miss ratio 0.5531
minimax_m25.oracleGeneral LRB-BMR cache size      308KiB, 4223356 req, miss ratio 0.3356, byte miss ratio 0.1554
minimax_m25.oracleGeneral LRB-BMR cache size      616KiB, 4223356 req, miss ratio 0.2867, byte miss ratio 0.0795
minimax_m25.oracleGeneral LRB-BMR cache size     1232KiB, 4223356 req, miss ratio 0.2744, byte miss ratio 0.0677
minimax_m25.oracleGeneral LRB-BMR cache size     3081KiB, 4223356 req, miss ratio 0.2652, byte miss ratio 0.0575
minimax_m25.oracleGeneral LRB-BMR cache size     6163KiB, 4223356 req, miss ratio 0.2621, byte miss ratio 0.0538
minimax_m25.oracleGeneral LRB-BMR cache size    12326KiB, 4223356 req, miss ratio 0.2605, byte miss ratio 0.0515
minimax_m25.oracleGeneral LRB-BMR cache size    30815KiB, 4223356 req, miss ratio 0.2590, byte miss ratio 0.0498
minimax_m25.oracleGeneral LRB-BMR cache size    61631KiB, 4223356 req, miss ratio 0.2580, byte miss ratio 0.0489
minimax_m25.oracleGeneral S3FIFO-0.1000-1 cache size       61KiB, 4223356 req, miss ratio 0.7486, byte miss ratio 0.8057
minimax_m25.oracleGeneral S3FIFO-0.1000-1 cache size      123KiB, 4223356 req, miss ratio 0.5991, byte miss ratio 0.6189
minimax_m25.oracleGeneral S3FIFO-0.1000-1 cache size      308KiB, 4223356 req, miss ratio 0.3983, byte miss ratio 0.2812
minimax_m25.oracleGeneral S3FIFO-0.1000-1 cache size      616KiB, 4223356 req, miss ratio 0.3220, byte miss ratio 0.1261
minimax_m25.oracleGeneral S3FIFO-0.1000-1 cache size     1232KiB, 4223356 req, miss ratio 0.2936, byte miss ratio 0.0840
minimax_m25.oracleGeneral S3FIFO-0.1000-1 cache size     3081KiB, 4223356 req, miss ratio 0.2731, byte miss ratio 0.0644
minimax_m25.oracleGeneral S3FIFO-0.1000-1 cache size     6163KiB, 4223356 req, miss ratio 0.2658, byte miss ratio 0.0565
minimax_m25.oracleGeneral S3FIFO-0.1000-1 cache size    12326KiB, 4223356 req, miss ratio 0.2623, byte miss ratio 0.0527
minimax_m25.oracleGeneral S3FIFO-0.1000-1 cache size    30815KiB, 4223356 req, miss ratio 0.2601, byte miss ratio 0.0504
minimax_m25.oracleGeneral S3FIFO-0.1000-1 cache size    61631KiB, 4223356 req, miss ratio 0.2591, byte miss ratio 0.0494
minimax_m25.oracleGeneral GDSF cache size       61KiB, 4223356 req, miss ratio 0.5926, byte miss ratio 0.6954
minimax_m25.oracleGeneral GDSF cache size      123KiB, 4223356 req, miss ratio 0.4498, byte miss ratio 0.4706
minimax_m25.oracleGeneral GDSF cache size      308KiB, 4223356 req, miss ratio 0.3170, byte miss ratio 0.1713
minimax_m25.oracleGeneral GDSF cache size      616KiB, 4223356 req, miss ratio 0.2820, byte miss ratio 0.0871
minimax_m25.oracleGeneral GDSF cache size     1232KiB, 4223356 req, miss ratio 0.2723, byte miss ratio 0.0728
minimax_m25.oracleGeneral GDSF cache size     3081KiB, 4223356 req, miss ratio 0.2658, byte miss ratio 0.0643
minimax_m25.oracleGeneral GDSF cache size     6163KiB, 4223356 req, miss ratio 0.2624, byte miss ratio 0.0585
minimax_m25.oracleGeneral GDSF cache size    12326KiB, 4223356 req, miss ratio 0.2601, byte miss ratio 0.0541
minimax_m25.oracleGeneral GDSF cache size    30815KiB, 4223356 req, miss ratio 0.2582, byte miss ratio 0.0507
minimax_m25.oracleGeneral GDSF cache size    61631KiB, 4223356 req, miss ratio 0.2574, byte miss ratio 0.0494
minimax_m25.oracleGeneral LHD cache size       61KiB, 4223356 req, miss ratio 0.6355, byte miss ratio 0.7293
minimax_m25.oracleGeneral LHD cache size      123KiB, 4223356 req, miss ratio 0.5252, byte miss ratio 0.5629
minimax_m25.oracleGeneral LHD cache size      308KiB, 4223356 req, miss ratio 0.3960, byte miss ratio 0.3362
